idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
0009X,0.963335,2024-07-01T07:00:00+0000,2.8,406.0,9.4,4.7,288.0,41.213894,295.0,ALFORJA,95.0,15.9,15.9,16.9,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.178894,2024-07-01T08:00:00+0000,3.8,71.0,9.3,6.4,280.0,41.14972,290.0,REUS/AEROPUERTO,91.0,17.6,17.7,18.6,1008.2,0.9,17.6,1017.2,16.2,12.5,3.0,0.0,,,,,,,,,,,,,,,,
0034X,1.260838,2024-07-01T08:00:00+0000,2.2,233.0,,,,41.293053,,VALLS,97.0,19.2,19.2,19.3,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2024-07-01T07:00:00+0000,1.4,632.0,2.5,0.6,250.0,41.417053,300.0,PONTONS,89.0,16.2,16.3,16.3,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2024-07-01T07:00:00+0000,2.8,177.0,2.1,0.3,169.0,41.33028,97.0,VILAFRANCA DEL PENEDÈS,93.0,18.8,18.8,19.3,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2024-07-01T05:00:00+0000,0.0,58.0,6.1,0.8,145.0,41.243786,107.0,SITGES-VALLCARCA,70.0,22.0,22.8,23.0,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2024-07-01T08:00:00+0000,4.5,4.0,6.7,0.5,210.0,41.29278,330.0,BARCELONA/AEROPUERTO,91.0,19.7,19.8,19.8,1015.9,0.3,20.5,1016.5,18.3,13.2,104.0,0.0,,,,,,,,,,,,,,,,
0092X,1.857494,2024-07-01T07:00:00+0000,0.0,682.0,4.0,2.2,79.0,42.101387,67.0,BERGA  INSTITUTO,83.0,15.6,16.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2024-07-01T07:00:00+0000,0.0,361.0,2.5,1.4,167.0,41.866386,187.0,BALSARENY,96.0,15.9,16.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2024-07-01T08:00:00+0000,0.0,700.0,3.0,1.8,198.0,42.007057,197.0,PRATS DE LLUÇANÈS,91.0,16.6,16.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2024-07-01T08:00:00+0000,0.0,742.0,2.2,1.4,264.0,41.81328,270.0,MOIÀ,96.0,15.7,16.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,
0149X,1.84028,2024-07-01T08:00:00+0000,0.0,291.0,2.7,1.2,254.0,41.71988,272.0,MANRESA,88.0,17.2,17.2,17.9,983.3,,18.4,1017.2,15.2,20.0,,0.0,25.5,0.0,0.0,,,,,,,,,,,,,
0158X,1.839223,2024-07-01T08:00:00+0000,0.4,738.0,,,,41.594444,,MONTSERRAT,94.0,14.7,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2024-07-01T08:00:00+0000,0.2,313.0,1.9,0.6,168.0,41.578888,293.0,IGUALADA,73.0,17.5,18.0,18.6,,,,,13.1,,,,,,,21.0,,,,,,,,,,,,
0194D,1.885,2024-07-01T08:00:00+0000,2.8,647.0,,,,41.40819,,CORBERA  PIC D?AGULLES ,100.0,15.4,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
0201D,2.200001,2024-07-01T08:00:00+0000,1.3,6.0,4.5,1.8,286.0,41.390556,270.0,BARCELONA CMT,93.0,20.0,20.0,20.5,,,,,18.8,,,,,,,53.0,,,,,,,,,,,,
0201X,2.173886,2024-07-01T07:00:00+0000,4.2,5.0,3.9,0.5,186.0,41.374996,270.0,BARCELONA  DRASSANES,86.0,20.7,20.7,21.6,,,,,,,,,,,,,,,,,,,,,,,,
0222X,2.168412,2024-07-01T07:00:00+0000,0.6,175.0,3.9,1.9,121.0,41.612663,135.0,CALDES DE MONTBUI,90.0,18.1,18.1,18.8,,,,,,,,,,,,,,,,,,,,,,,,
0244X,2.362637,2024-07-01T08:00:00+0000,0.8,56.0,3.7,1.1,269.0,41.504894,305.0,VILASSAR DE DALT,87.0,19.5,19.5,19.8,,,,,,,,,,,,,,,,,,,,,,,,
0252D,2.54,2024-07-01T08:00:00+0000,,74.0,3.1,1.2,330.0,41.587223,333.0,ARENYS DE MAR,86.0,19.4,20.3,20.3,,,,,17.9,,,,,,,45.0,,,,,,,,,,,,
0260X,2.431023,2024-07-01T08:00:00+0000,0.2,936.0,,,,41.760063,,FONTMARTINA,92.0,15.4,15.4,16.1,,,,,,,,,,,,,,,,,,,,,,,,
0281Y,2.805112,2024-07-01T07:00:00+0000,0.0,45.0,7.7,2.8,351.0,41.677055,355.0,BLANES JARDIN BOTANICO,74.0,20.7,20.7,21.1,,,,,,,,,,,,,,,,,,,,,,,,
0284X,3.030933,2024-07-01T07:00:00+0000,0.0,14.0,12.6,3.5,291.0,41.807816,335.0,CASTELL PLATJA D?ARO,74.0,21.5,21.6,21.7,,,,,,,,,,,,,,,,,,,,,,,,
0312X,2.364353,2024-07-01T07:00:00+0000,0.0,851.0,4.7,1.4,206.0,42.258446,267.0,SANT PAU DE SEGURIES,98.0,13.2,13.9,13.9,,,,,,,,,,,,,,,,,,,,,,,,
0320I,2.102774,2024-07-01T08:00:00+0000,0.0,1151.0,1.4,0.4,36.0,42.31688,75.0,PLANOLES,91.0,14.2,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
0324A,2.196187,2024-07-01T08:00:00+0000,0.1,675.0,,,,42.191387,,RIPOLL,93.0,15.2,16.2,16.2,,,,,15.1,,,,,,,6.0,,,,,,,,,,,,
0360X,2.551007,2024-07-01T08:00:00+0000,0.0,337.0,1.7,0.5,105.0,42.052837,72.0,LES PLANES D?HOSTOLES,99.0,16.9,18.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,
0363X,2.513329,2024-07-01T07:00:00+0000,0.0,810.0,2.2,1.1,358.0,41.880833,357.0,SANT HILARI,95.0,13.6,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,
0367,2.763329,2024-07-01T08:00:00+0000,0.0,143.0,4.1,1.8,90.0,41.911667,20.0,GIRONA/COSTA BRAVA,89.0,18.8,19.6,19.6,1000.0,0.4,21.5,1015.0,17.8,,24.0,0.0,,,,,,,,,,,,,,,,
0370E,2.819442,2024-07-01T08:00:00+0000,0.0,76.0,2.3,0.1,7.0,41.972332,357.0,GIRONA-PARC MIGDIA,86.0,19.4,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2024-07-01T08:00:00+0000,0.0,157.0,1.8,0.4,107.0,42.104443,91.0,PORQUERES,77.0,18.8,21.0,21.1,,,,,16.8,,,,,,,21.0,,,,,,,,,,,,
0385X,3.201389,2024-07-01T08:00:00+0000,0.0,1.0,4.8,2.0,35.0,42.053886,347.0,L?ESTARTIT,68.0,20.7,22.8,22.8,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2024-07-01T08:00:00+0000,0.0,350.0,1.5,0.3,288.0,42.210556,5.0,VALL DE BIANYA,84.0,17.1,19.1,19.1,,,,,,,,,,,,,,,,,,,,,,,,
0411X,3.093053,2024-07-01T07:00:00+0000,0.0,2.0,4.6,2.0,330.0,42.224834,327.0,CASTELLO D?EMPURIES,100.0,18.5,20.1,20.1,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2024-07-01T07:00:00+0000,0.0,355.0,1.1,0.4,191.0,42.386925,115.0,MAÇANET DE CABRENYS,86.0,16.7,18.9,18.9,,,,,,,,,,,,,,,,,,,,,,,,
0421X,3.006114,2024-07-01T07:00:00+0000,0.0,100.0,7.5,2.6,73.0,42.38988,310.0,ESPOLLA  LES ALBERES,70.0,18.2,21.3,21.3,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2024-07-01T08:00:00+0000,0.0,45.0,11.2,5.7,39.0,42.259083,57.0,FIGUERES  ELS ASPRES,66.0,21.6,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
0433D,3.315556,2024-07-01T08:00:00+0000,0.0,75.0,,11.7,264.0,42.31904,,EVC_CABO DE CREUS,99.0,22.5,22.9,22.9,1003.0,,,,22.7,,,,,,,410.0,,,,,,,,,,,,
1002Y,-1.542961,2024-07-01T08:00:00+0000,0.0,183.0,1.4,0.4,15.0,43.135723,343.0,BAZTÁN  IRURITA,91.0,13.7,15.6,15.6,,0.3,,,14.1,,38.0,,,,,,,,,,,,,,,,,
